title,artist,year
'Stairway to Heaven','Led Zeppelin',1971
'Imagine','John Lennon',1971
'Sweet Home Alabama','Lynyrd Skynyrd',1974
'Takin' Care of Business','Bachman-Turner Overdrive',1974
'Bohemian Rhapsody','Queen',1975
'Tangled Up in Blue','Bob Dylan',1975
'Hotel California','Eagles',1976
'More Than a Feeling','Boston',1976
'Thunder Road','Bruce Springsteen',1975
'Thunderstruck','AC/DC',1990
'Enter Sandman','Metallica',1991
'Smells Like Teen Spirit','Nirvana',1991
'November Rain','Guns N' Roses',1991
'Losing My Religion','R.E.M.',1991
'Black Hole Sun','Soundgarden',1994
'Under the Bridge','Red Hot Chili Peppers',1991
'Today','The Smashing Pumpkins',1993
'No Rain','Blind Melon',1992
'Comedown','Bush',1994
'Zombie','The Cranberries',1994
'Glycerine','Bush',1994
'Better Man','Pearl Jam',1994
'Champagne Supernova','Oasis',1995
'Wonderwall','Oasis',1995
'Closer','Nine Inch Nails',1994
'1979','The Smashing Pumpkins',1995
'Scar Tissue','Red Hot Chili Peppers',1999
'Smooth','Santana feat. Rob Thomas',1999
'Back Here','BBMak',1999
